Item,Suggested to Sort to
Wrapping Paper,Paper
Magazine,Paper
Envelope,Paper
Cardboard Box,Paper
Old Letter,Paper
Empty Bag of Sugar,Paper
Mouldy Bread,Food Waste & Garden Waste
Banana Skin,Food Waste & Garden Waste
Grass Cutting,Food Waste & Garden Waste
Apple Core,Food Waste & Garden Waste
Old Flowers,Food Waste & Garden Waste
Orange Peel,Food Waste & Garden Waste
Juice Carton,Packaging
Milk Bottle,Packaging
Plastic Bag,Packaging
Bottle of Washing up Liquid,Packaging
Can of Juice,Packaging
Empty Can,Packaging
Toilet Roll Tube,Packaging
Old Toy,"Non Recycleable "
Pizza Box,"Non Recycleable "
Crisp Packet,"Non Recycleable "
Coffee Cup,"Non Recycleable "
Broken Mug,"Non Recycleable "
Used Paper Tissue,"Non Recycleable "
Empty Cupcake Case,"Non Recycleable "
Pencil Shavings,"Non Recycleable "
Old Batteries,"Non Recycleable "